Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
2406799	Ansaldo	621,90		 € 3,260 	Rame	 € 8,9982 	 € 12,2582 	 € 12,6940 	4,00%	 € 0,4903 	 € -     	 € -     	 € 0,2608 	 € 162,1915 	 € 0,4358 	 € 108,4096 	 € 270,6011 			cons Kg 621,9		0	0
2501477	Ansaldo	19.598,40		 € 3,260 	Rame	 € 9,6961 	 € 12,9561 	 € 13,3400 	4,00%	 € 0,5182 	 € -     	 € -     	 € 0,2608 	 € 5.111,2627 	 € 0,3839 	 € 3.009,5303 	 € 8.120,7930 			cons Kg 2617,6+4247,8+6009,8+6723,2		0	0
2501477	Ansaldo	4.000,00		 € 3,890 	Rame	 € 9,6961 	 € 13,5861 	 € 13,5861 	4,00%	 € 0,5434 	 € -     	 € -     	 € 0,3112 	 € 1.244,8000 	 € -     	 € -     	 € 1.244,8000 	06/10/2025				10	2025
2501477	Ansaldo	4.000,00		 € 3,890 	Rame	 € 9,6961 	 € 13,5861 	 € 13,5861 	4,00%	 € 0,5434 	 € -     	 € -     	 € 0,3112 	 € 1.244,8000 	 € -     	 € -     	 € 1.244,8000 	25/09/2025				9	2025
2501477	Ansaldo	4.843,20		 € 3,890 	Rame	 € 9,6961 	 € 13,5861 	 € 13,5861 	4,00%	 € 0,5434 	 € -     	 € -     	 € 0,3112 	 € 1.507,2038 	 € -     	 € -     	 € 1.507,2038 					0	0
2501477	Ansaldo	4.127,10		 € 3,890 	Rame	 € 9,6961 	 € 13,5861 	 € 13,5861 	4,00%	 € 0,5434 	 € -     	 € -     	 € 0,3112 	 € 1.284,3535 	 € -     	 € -     	 € 1.284,3535 					0	0
2501977/25005509	Ansaldo	3.049,50		 € 3,260 	Rame	 € 8,6656 	 € 11,9256 	 € 12,7400 	4,00%	 € 0,4770 	 € -     	 € -     	 € 0,2608 	 € 795,3096 	 € 0,4300 	 € 524,5140 	 € 1.319,8236 			cons Kg 3049,5		0	0
2502162	Ansaldo	4.000,00		 € 3,890 	Rame	 € 8,8505 	 € 12,7405 	 € 12,7400 	4,00%	 € 0,5096 	 € -     	 € -     	 € 0,3112 	 € 1.244,8000 	 € -     	 € -     	 € 1.244,8000 	04/12/2025				12	2025
2502162	Ansaldo	4.000,00		 € 3,890 	Rame	 € 8,8505 	 € 12,7405 	 € 12,7400 	4,00%	 € 0,5096 	 € -     	 € -     	 € 0,3112 	 € 1.244,8000 	 € -     	 € -     	 € 1.244,8000 	21/11/2025				11	2025
2502162	Ansaldo	4.000,00		 € 3,890 	Rame	 € 8,8505 	 € 12,7405 	 € 12,7400 	4,00%	 € 0,5096 	 € -     	 € -     	 € 0,3112 	 € 1.244,8000 	 € -     	 € -     	 € 1.244,8000 	03/11/2025				11	2025
2502162	Ansaldo	4.000,00		 € 3,890 	Rame	 € 8,8505 	 € 12,7405 	 € 12,7400 	4,00%	 € 0,5096 	 € -     	 € -     	 € 0,3112 	 € 1.244,8000 	 € -     	 € -     	 € 1.244,8000 	21/10/2025				10	2025
2502366/25007982	Belotti	721,25		 € 3,130 	Rame	 € 9,8689 	 € 12,9989 	 € 13,8690 	5,00%	 € 0,6499 	 € 0,1950 	 € -     	 € -     	 € 140,6322 	 € 0,8701 	 € 251,0139 	 € 391,6461 		OK			0	0
2502366/25008332	Belotti	697,30		 € 3,130 	Rame	 € 9,1752 	 € 12,3052 	 € 13,1752 	5,00%	 € 0,6153 	 € 0,1846 	 € -     	 € -     	 € 128,7060 	 € 0,8700 	 € 242,6669 	 € 371,3729 		OK			0	0
2503050/25007757	Ansaldo	5.000,00		 € 3,950 	Rame	 € 9,0403 	 € 12,9903 	 € 13,0800 	4,00%	 € 0,5196 	 € -     	 € -     	 € 0,3160 	 € 1.580,0000 	 € 0,0900 	 € 180,0000 	 € 1.760,0000 					0	0
2503050/25007757	Ansaldo	5.000,00		 € 3,900 	Rame	 € 9,0403 	 € 12,9403 	 € 13,0800 	4,00%	 € 0,5176 	 € -     	 € -     	 € 0,3120 	 € 1.560,0000 	 € 0,0900 	 € 180,0000 	 € 1.740,0000 					0	0
2503050/25007757	Ansaldo	4.972,00		 € 3,950 	Rame	 € 9,0403 	 € 12,9903 	 € 13,0800 	4,00%	 € 0,5196 	 € -     	 € -     	 € 0,3160 	 € 1.571,1520 	 € 0,0900 	 € 178,9920 	 € 1.750,1440 					0	0
2503050/25008054	Ansaldo	5.000,00		 € 3,950 	Rame	 € 9,0966 	 € 13,0466 	 € 13,0800 	4,00%	 € 0,5219 	 € -     	 € -     	 € 0,3160 	 € 1.580,0000 	 € 0,0900 	 € 180,0000 	 € 1.760,0000 					0	0
2503050/25008054	Ansaldo	2.856,30		 € 3,950 	Rame	 € 9,0403 	 € 12,9903 	 € 13,0800 	4,00%	 € 0,5196 	 € -     	 € -     	 € 0,3160 	 € 902,5908 	 € 0,0900 	 € 102,8268 	 € 1.005,4176 					0	0
2503392	Ansaldo	5.000,00		 € 3,820 	Rame	 € 9,0503 	 € 12,8703 	 € 12,9900 	4,00%	 € 0,5148 	 € -     	 € -     	 € 0,3056 	 € 1.528,0000 	 € 0,1200 	 € 240,0000 	 € 1.768,0000 	12/02/2026				2	2026
2503392	Ansaldo	5.000,00		 € 3,820 	Rame	 € 9,0503 	 € 12,8703 	 € 12,9900 	4,00%	 € 0,5148 	 € -     	 € -     	 € 0,3056 	 € 1.528,0000 	 € 0,1200 	 € 240,0000 	 € 1.768,0000 	15/01/2026				1	2026
2503392	Ansaldo	5.000,00		 € 3,820 	Rame	 € 9,0503 	 € 12,8703 	 € 12,9900 	4,00%	 € 0,5148 	 € -     	 € -     	 € 0,3056 	 € 1.528,0000 	 € 0,1200 	 € 240,0000 	 € 1.768,0000 	29/01/2026				1	2026
